company_name,country,source
"RIVIAN AUTOMOTIVE, INC.",US,orbis
"KG ECO SOLUTION CO., LTD.",KR,orbis
"NINGBO HANGZHOU BAY GEELY AUTO PARTS CO., LTD.",CN,orbis
"NEMAK, S.A.B. DE C.V.",MX,orbis
MAZDA MOTOR LOGISTICS EUROPE,BE,orbis
"WUHAN SANGHUI AUTO PARTS CO., LTD.",CN,orbis
"DENSO (CHINA) INVESTMENT CO., LTD.",CN,orbis
"GAC AION NEW ENERGY AUTOMOBILE CO., LTD.",CN,orbis
HONDA AUTOMOBILE (THAILAND) CO LTD,TH,orbis
MITSUBISHI MOTORS (THAILAND) CO LTD,TH,orbis
HERO MOTOCORP LIMITED,IN,orbis
MAZDA MOTOR LOGISTICS EUROPE NV - LIMITED LIABILITY COMPANY,IE,orbis
INTER CARS SA,PL,orbis
"CHINA AEROSPACE SANJIANG GROUP CO., LTD.",CN,orbis
"QIANJIANG HAITONG AUTOMOBILE SALES AND SERVICE CO., LTD.",CN,orbis
"FUTABA INDUSTRIAL CO., LTD.",JP,orbis
"SHIYAN YUXUAN INDUSTRY AND TRADE CO., LTD.",CN,orbis
"BRIDGESTONE EUROPE NV/SA, HUNGARIAN BRANCH",HU,orbis
D'IETEREN AUTOMOTIVE SA/NV,BE,orbis
GRAND BAOXIN AUTO GROUP LIMITED,KY,orbis
"CHERY COMMERCIAL VEHICLE (ANHUI) CO., LTD.",CN,orbis
BMW MOTOREN GMBH,AT,orbis
TVS HOLDINGS LIMITED,IN,orbis
"SHANGHAI AUTOMOTIVE INDUSTRY SALES CO., LTD.",CN,orbis
"FUZHOU BYD INDUSTRIAL CO., LTD.",CN,orbis
GROUPE PSA ITALIA S.P.A.,IT,orbis
BMW FRANCE,FR,orbis
"BEIJING IDEAL AUTOMOBILE CO., LTD. CHANGZHOU BRANCH",CN,orbis
RENAULT ITALIA S.P.A.,IT,orbis
MITSUBISHI LOGISNEXT CO LTD,JP,orbis
"ZHEJIANG LEAPMOTOR TECHNOLOGY CO., LTD.",CN,orbis
MERCEDES-BENZ FRANCE,FR,orbis
"FAW-VOLKSWAGEN AUTOMOTIVE CO., LTD. TIANJIN BRANCH",CN,orbis
"XIANGYANG 07 MACHINERY CO., LTD.",CN,orbis
"ZHEJIANG LEAPMOTOR TECHNOLOGY CO., LTD.",CN,orbis
PERODUA SALES SDN. BHD.,MY,orbis
MERCEDES-BENZ MANUFACTURING HUNGARY KORLATOLT FELELOSSEGU TARSASAG,HU,orbis
NITERRA CO. LTD.,JP,orbis
TOYOTA(G.B.) PLC,GB,orbis
CUPRA SEAT DEUTSCHLAND GMBH,DE,orbis
"UNITED AUTOMOTIVE ELECTRONICS CO., LTD.",CN,orbis
XPENG INC.,KY,orbis
"SICHUAN FAW TOYOTA MOTOR CO., LTD. CHANGCHUN FENGYUE COMPANY",CN,orbis
AUTOALLIANCE (THAILAND) CO LTD,TH,orbis
VOLKSWAGEN GROUP ESPANA DISTRIBUCION SA.,ES,orbis
TOYOTA MOBILITY PARTS K.K.,JP,orbis
"XIAOMI AUTOMOTIVE TECHNOLOGY CO., LTD.",CN,orbis
TRIGANO,FR,orbis
"HYSTER-YALE, INC.",US,orbis
NEXTEER AUTOMOTIVE GROUP LIMITED,KY,orbis
AUTOCANADA INC.,CA,orbis
"HUBEI TIANLI AUTO PARTS MANUFACTURING CO., LTD.",CN,orbis
TOYOTA FRANCE,FR,orbis
AARS AS,NO,orbis
VOLKSWAGEN NAVARRA SA,ES,orbis
"TIREHUB, LLC",US,orbis
OTOKOC OTOMOTIV TICARET VE SANAYI ANONIM SIRKETI,TR,orbis
"NGK INSULATORS, LTD.",JP,orbis
"WUHAN JIACHI TRADING CO., LTD.",CN,orbis
BRIDGESTONE EUROPE NV/SA,BE,orbis
TOKAI RIKA CO LTD,JP,orbis
RENAULT TANGER EXPLOITATION,MA,orbis
"BMW KOREA CO.,LTD",KR,orbis
BREMBO SPA,IT,orbis
CAUSEWAY CONSORTIUM HOLDINGS LIMITED,IE,orbis
FCA POLAND SP. Z O.O.,PL,orbis
FORD OTOSAN ROMANIA S.R.L.,RO,orbis
SOUTHEAST (FUJIAN) MOTOR CORPORATION LTD.,CN,orbis
"GUANGZHOU WEIJUN NEW ENERGY TECHNOLOGY CO., LTD.",CN,orbis
VOLVO GROUP BELGIUM,BE,orbis
STELLANTIS & YOU FRANCE SAS,FR,orbis
FORD MOTOR COMPANY OF AUSTRALIA PTY LTD,AU,orbis
"VOLKSWAGEN AUTOEUROPA, LDA",PT,orbis
"XIANGYANG QIANJING TRADING CO., LTD.",CN,orbis
"DEALER TIRE, LLC",US,orbis
"PANASONIC AUTOMOTIVE SYSTEMS CO.,LTD.",JP,orbis
MERCEDES-BENZ KOREA LTD,KR,orbis
VISTEON CORPORATION,US,orbis
PORSCHE AUSTRIA GESELLSCHAFT M.B.H. & CO. OG,AT,orbis
SAIC GM DONGYUE MOTORS COMPANY LIMITED,CN,orbis
THAI HONDA CO LTD,TH,orbis
BMW ITALIA SPA,IT,orbis
"NINGBO AILIDE AUTO PARTS CO., LTD.",CN,orbis
"SHIYAN ZHENGTONGYUAN MATERIALS TRADING CO., LTD.",CN,orbis
"SAIC VOLKSWAGEN AUTOMOTIVE CO., LTD. NANJING BRANCH",CN,orbis
LCI INDUSTRIES,US,orbis
MERCEDES-BENZ JAPAN G.K.,JP,orbis
"FAW-VOLKSWAGEN AUTOMOTIVE CO., LTD. FOSHAN BRANCH",CN,orbis
DRB-HICOM BERHAD,MY,orbis
"NINGBO TUOPU GROUP CO.,LTD.",CN,orbis
"GAOYOU DONGFANGYOUDU ENVIRONMENTAL CLEANING SERVICE CO., LTD.",CN,orbis
VOLVO CAR GERMANY GMBH,DE,orbis
"VOLKSWAGEN AUTOMATIC TRANSMISSION (TIANJIN) CO., LTD.",CN,orbis
"ZHEJIANG GEELY AUTOMOBILE CO., LTD. NINGBO HANGZHOU BAY PLANT",CN,orbis
SOCIETE MECANIQUE AUTOMOBILE DE L'EST,FR,orbis
PEUGEOT CITROEN MULHOUSE SNC,FR,orbis
KAMAZ PUBLICLY TRADED COMPANY,RU,orbis
"YANASE&CO.,LTD.",JP,orbis
"NEXTAGE CO.,LTD.",JP,orbis
"CHINA NATIONAL HEAVY DUTY TRUCK GROUP JINAN COMMERCIAL VEHICLE CO., LTD.",CN,orbis
"NINGBO HUAXIANG ELECTRONIC CO., LTD.",CN,orbis
HYUNDAI MOTOR DEUTSCHLAND GMBH,DE,orbis
"WUHAN CHIBA AUTO PARTS CO., LTD.",CN,orbis
AUTOMOBILI LAMBORGHINI S.P.A.,IT,orbis
"DAQING FENGWO AUTOMOBILE SALES CO., LTD.",CN,orbis
GREAT WALL MOTOR RUS LIMITED LIABILITY COMPANY,RU,orbis
ASIAN HONDA MOTOR CO LTD,TH,orbis
"DAQING VOLVO CAR MANUFACTURING CO., LTD.",CN,orbis
"XIAOPENG MOTORS SALES CO., LTD.",CN,orbis
KIA UK LIMITED,GB,orbis
BILIA AB,SE,orbis
PEUGEOT CITROEN SOCHAUX SNC,FR,orbis
"WEICHAI POWER CO., LTD.",CN,orbis
"DEEP BLUE AUTO SALES (CHONGQING) CO., LTD.",CN,orbis
TOYOTA MOTOR ITALIA S.P.A.,IT,orbis
"CIMC VEHICLES (GROUP) CO., LTD.",CN,orbis
TI FLUID SYSTEMS LIMITED,GB,orbis
SUPER GROUP LIMITED,ZA,orbis
MARTINREA INTERNATIONAL INC.,CA,orbis
"JIANGMEN ZHICHENG GENERAL MACHINERY CO., LTD.",CN,orbis
"NORTH LINYUN INDUSTRIAL GROUP CO.,LTD",CN,orbis
GARRETT MOTION INC.,US,orbis
MOELLER MOBILITY GROUP AS,NO,orbis
MERCEDES-BENZ ITALIA S.P.A.,IT,orbis
HIAB OYJ,FI,orbis
"SHIYAN FANGDE MECHANICAL AND ELECTRICAL EQUIPMENT CO., LTD.",CN,orbis
BAHMAN DIEZEL COMPANY PUBLIC JOINT STOCK,IR,orbis
LIMITED LIABILITY COMPANY GEELY-MOTORS,RU,orbis
RENAULT RETAIL GROUP,FR,orbis
"FPT INDUSTRIAL S.P.A. O, PER ESTESO, FIAT POWERTRAIN TECHNOLOGIES INDUSTRIAL S.P.A.",IT,orbis
"STANLEY ELECTRIC CO., LTD.",JP,orbis
WE BUY ANY CAR LIMITED,GB,orbis
PHINIA INC.,US,orbis
TOYOTA ESPANA SL,ES,orbis
HORSE POWERTRAIN SPAIN SL.,ES,orbis
IRAN AUTO PARTS INDUSTRIAL COMPANY PUBLIC JOINT STOCK,IR,orbis
AMPERE ELECTRICITY,FR,orbis
"FLEETPRIDE, INC.",US,orbis
"TOYOTA MOTOR MANUFACTURING CZECH REPUBLIC, S.R.O.",CZ,orbis
